b1,b2,b3,b4,b5,b6,b7,b8,b9
-2.933905,,,,,"NA","NA","NA","NA"
-1.37509,,,,,"NA","NA","NA","NA"
-.9272112,,,,,"NA","NA","NA","NA"
-1.053396,,,,,"NA","NA","NA","NA"
-.7504026,,,,,"NA","NA","NA","NA"
-3.86398,-3.353652,-2.300252,-1.546096,.22267,"NA","NA","NA","NA"
