ItemStudyName
"absmeas"
"abstran"
"clockcirc"
"clockhand"
"clocknum"
"clocksym"
"clocktime"
"digback"
"digfor"
"digitscor"
"dspanbac"
"dspanfor"
"letters"
"mmworldscore"
"q13score"
"serial1"
"serial2"
"serial3"
"serial4"
"serial5"
"traascor"
"trabscor"
"trails"
