a
.8505883
.8505883
.6629412
2.047647
1.062941
1.075882
1.384706
.75
.75
1.996471
1.549412
.97
.91
1.170588
.8617647
1.329412
1.329412
1.329412
1.329412
1.329412
2.041177
1.928823
1.102353
