a
.8147059
1.668823
1.629412
.9911765
1.053529
2.298235
.9841176
2.024706
.7088235
.92
.4382353
2.604118
2.348235
1.335882
1.281176
1.101765
1.209412
2.236471
2.039412
3.338235
2.968235
3.473529
3.334118
3.219412
2.929412
2.597059
2.016471
.9658824
1.065294
.8217647
1.360588
3.428823
3.126471
1.572353
1.437059
2.612353
3.011765
1.874118
.7858824
.9488235
